stamp,brk_pressure_cmd_counter,f_brake_pressure_cmd,r_brake_pressure_cmd
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=522735254)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=532912590)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=542797690)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=553037556)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=562880874)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=572913315)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582891474)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=592888650)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=602753830)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=613359978)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=622914525)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=632818488)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=642864746)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=652890775)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=662861825)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=672936136)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=682912810)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=692887433)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702949705)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=712827542)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=722838255)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=732932061)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=742803299)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=752791884)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762908684)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=772826461)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=782909223)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=792823713)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802942373)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=812945422)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=823038301)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=832925644)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=843165374)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852938651)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=862814467)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=872926005)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=882901023)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=892915454)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902786601)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=912829985)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=922958294)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=933011588)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942985174)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=952958697)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=962823670)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=973075834)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=982821600)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=992787276)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=2799261)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=12940436)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=22953269)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=32936803)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=42994873)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=52916123)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=62954736)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=72867761)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=83024552)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=92914911)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=102965855)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=112855209)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=122928020)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=132937772)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=142944933)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=152770115)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=162963096)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=172927914)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=182845934)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=192926638)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=202841718)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=212857494)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=222958387)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=232997854)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=242901439)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=252852038)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=262908693)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=272958497)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=282982503)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=292855077)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=303014956)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=312932940)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=323000452)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=332850757)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=343527487)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=352859858)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=362812209)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=372896293)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=382829387)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=392839842)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=402765291)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=413102657)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=422950582)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=432900566)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=443742971)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=452945506)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462874622)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=472876773)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=482759500)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=492940403)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=502828933)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=512862810)",2,0,0
