stamp,battery_voltage,safety_switch_state,mode_switch_state,sys_state,raptor_rolling_counter
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=141885942)",13.9,4,False,9,59
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=341870761)",13.9,4,False,9,79
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=542745971)",13.9,4,False,9,99
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=741896911)",13.9,4,False,9,119
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=941911596)",13.9,4,False,9,139
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=141872154)",13.9,4,False,9,159
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=342433129)",13.9,4,False,9,179
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=542198373)",13.9,4,False,9,199
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=742878312)",13.9,4,False,9,219
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=942478314)",13.9,4,False,9,239
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=142169445)",13.9,4,False,9,3
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=342320041)",13.9,4,False,9,23
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=541954866)",13.9,4,False,9,43
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=742411055)",13.9,4,False,9,63
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=942344615)",13.9,4,False,9,83
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=142755716)",13.9,4,False,9,103
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=343601822)",13.9,4,False,9,123
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=542764919)",13.9,4,False,9,143
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=742761475)",13.9,4,False,9,163
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=942870077)",13.9,4,False,9,183
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=142905032)",13.9,4,False,9,203
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=342774695)",13.9,4,False,9,223
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=542751115)",13.9,4,False,9,243
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=742778637)",13.9,4,False,9,7
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=943191017)",13.9,4,False,9,27
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=142798812)",13.9,4,False,9,47
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=342792290)",13.9,4,False,9,67
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=542825203)",13.9,4,False,9,87
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=742769089)",13.9,4,False,9,107
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=942786233)",13.9,4,False,9,127
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=142793710)",13.9,4,False,9,147
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=342815746)",13.9,4,False,9,167
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=542930558)",13.9,4,False,9,187
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=742852519)",13.9,4,False,9,207
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=942826511)",13.9,4,False,9,227
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=142927242)",13.9,4,False,9,247
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=342816390)",13.9,4,False,9,11
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=542829596)",13.9,4,False,9,31
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=742779535)",13.9,4,False,9,51
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=942804961)",14.0,4,False,9,71
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=142784559)",14.0,4,False,9,91
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=343215752)",13.8,4,False,9,111
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=542820995)",13.8,4,False,9,131
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=742841556)",13.9,4,False,9,151
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=942800941)",13.9,4,False,9,171
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=142851684)",13.9,4,False,9,191
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=342835152)",13.9,4,False,9,211
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=542820640)",13.8,4,False,9,231
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=742837567)",13.9,4,False,9,251
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=942830008)",13.8,4,False,9,15
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=142971605)",13.8,4,False,9,35
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=342886669)",13.9,4,False,9,55
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=543469122)",13.9,4,False,9,75
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=742847957)",13.9,4,False,9,95
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=942906632)",13.9,4,False,9,115
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=142880324)",13.9,4,False,9,135
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=343156999)",13.8,4,False,9,155
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=542913066)",13.9,4,False,9,175
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=742885807)",13.9,4,False,9,195
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=942854074)",14.0,4,False,9,215
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=152825909)",13.9,4,False,9,236
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=342955710)",13.9,4,False,9,255
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=542968660)",13.9,4,False,9,19
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=742970049)",13.9,4,False,9,39
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=942834724)",13.9,4,False,9,59
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=142868758)",13.8,4,False,9,79
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=342903408)",13.9,4,False,9,99
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=543396412)",13.8,4,False,9,119
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=743930147)",13.9,4,False,9,139
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=942924172)",14.0,4,False,9,159
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=142916036)",13.8,4,False,9,179
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=342957585)",13.9,4,False,9,199
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=542918385)",13.9,4,False,9,219
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=742855614)",13.9,4,False,9,239
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=942879783)",13.9,4,False,9,3
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=146551902)",13.9,4,False,9,23
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=342902521)",13.9,4,False,9,43
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=546307872)",13.8,4,False,9,63
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=742877321)",13.9,4,False,9,83
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=942881301)",14.0,4,False,9,103
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=143056834)",14.0,4,False,9,123
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=343529078)",13.9,4,False,9,143
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=542962262)",13.9,4,False,9,163
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=742916713)",13.9,4,False,9,183
