stamp,group_fields,insstatus_mode,insstatus_gps_fix,insstatus_time_error,insstatus_imu_error,insstatus_mag_pres_error,insstatus_gps_error,insstatus_gps_heading_ins,insstatus_gps_compass,poslla_x,poslla_y,poslla_z,velbody_x,velbody_y,velbody_z,velned_x,velned_y,velned_z
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=462693616)",779,1,True,False,False,False,False,False,True,36.587094459911384,-121.75588100946943,198.71964832022786,5.790759086608887,-0.6148386001586914,-0.11217990517616272,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=472692616)",779,1,True,False,False,False,False,False,True,36.58709404131412,-121.75588140179562,198.71984842652455,5.789092540740967,-0.6099625825881958,-0.10979395359754562,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=482691080)",779,1,True,False,False,False,False,False,True,36.58709362233339,-121.75588179382538,198.72003914276138,5.79101037979126,-0.6141790747642517,-0.11733640730381012,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=492694152)",779,1,True,False,False,False,False,False,True,36.5870932034504,-121.75588218560736,198.72003477066755,5.788752555847168,-0.6135797500610352,-0.10714393109083176,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=502695176)",779,1,True,False,False,False,False,False,True,36.587092784015184,-121.75588257704526,198.7201544647105,5.793680191040039,-0.613726019859314,-0.12699861824512482,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=512695176)",779,1,True,False,False,False,False,False,True,36.587092378012365,-121.75588304255177,198.71985097508878,5.793859481811523,-0.6174401044845581,-0.11656589061021805,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=522693640)",779,1,True,False,False,False,False,False,True,36.58709195814915,-121.7558834344188,198.72014326928183,5.798308372497559,-0.6135236024856567,-0.13733509182929993,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=532695456)",779,1,True,False,False,False,False,False,True,36.58709153822017,-121.75588382608566,198.72046500537544,5.799532413482666,-0.6167541146278381,-0.13340336084365845,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=542697480)",779,1,True,False,False,False,False,False,True,36.58709111828593,-121.75588421821142,198.7209300911054,5.798257350921631,-0.6082441806793213,-0.13753432035446167,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=552697480)",779,1,True,False,False,False,False,False,True,36.587090698423665,-121.75588461021349,198.72121483879164,5.798990726470947,-0.6081384420394897,-0.1443827897310257,0.0,0.0,0.0
