stamp,fluid_pressure,variance
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=581189384)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=591192712)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=601193504)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=611193760)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=621193480)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=631196808)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=641198088)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=651198600)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=661197320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=671201648)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=681201928)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=691202440)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=701201416)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=711205000)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=721206280)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=731206792)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741204256)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=751208584)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=761210376)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=771210888)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=781209608)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=791211936)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=801214728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=811215240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=821213704)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=831217032)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=841218824)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=851222152)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=861229320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=871229832)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=881228808)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=891232136)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=901233672)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=911233184)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=921232904)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=931239816)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=941241608)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=951242120)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=961241096)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=971243424)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=981245728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=991247240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=1247240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=11249568)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=21255688)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=31256200)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=41255176)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=51258504)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=61261040)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=71260296)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=81259272)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=91263600)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=101264136)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=111263648)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=121263368)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=131266696)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=141268232)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=151268744)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=161266464)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=171270792)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=181272584)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=191273096)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=201271560)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=211274888)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=221276680)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=231280776)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=241282312)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=251286640)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=261285360)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=271287688)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=281288968)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=291289480)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=301288200)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=311291784)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=321293320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=331292832)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=341294112)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=351294624)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=361294600)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=371297928)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=381299464)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=391300232)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=401300000)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=411304328)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=421305864)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=431306376)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=441305096)",0.0,0.0
