stamp,source_topic,group_fields,utc_year,utc_month,utc_day,utc_hour,utc_min,utc_sec,utc_ms,tow,week,numsats,fix,poslla_x,poslla_y,poslla_z,velned_x,velned_y,velned_z,dop_g,dop_p,dop_t,dop_v,dop_h,dop_n,dop_e
"builtin_interfaces.msg.Time(sec=1751477837, nanosec=709534764)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322655400476343,0,0,8,36.586551019,-121.75295858099999,202.4789,7.9019999504089355,-10.8149995803833,0.5519999861717224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477837, nanosec=909639467)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322655800293395,0,19,8,36.586571014,-121.75298968599998,202.87879999999998,8.586000442504883,-10.861000061035156,0.5910000205039978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477837, nanosec=909639467)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322655600476237,0,0,8,36.586565341000004,-121.75298285899999,202.3648,8.090999603271484,-10.692999839782715,0.5600000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=116604571)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322656000293301,0,19,8,36.586587132999995,-121.75301336700001,202.7798,9.307999610900879,-10.567999839782715,0.4230000078678131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=116604571)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322655800476131,0,0,8,36.586580827,-121.753006573,202.2578,9.072999954223633,-10.54699993133545,0.5360000133514404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=316526441)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322656200293207,0,19,8,36.586604484,-121.753036616,202.67579999999998,9.982999801635742,-10.286999702453613,0.4009999930858612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=316526441)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322656000476025,0,0,8,36.58659762,-121.75302967999998,202.16510000000002,9.70300006866455,-10.284000396728516,0.4699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=512432648)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322656400293113,0,19,8,36.586623063999994,-121.75305953599998,202.5985,10.619999885559082,-10.152999877929688,0.47200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=512432648)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322656200475920,0,0,8,36.586615677,-121.75305232299999,202.0796,10.32699966430664,-10.015999794006348,0.36500000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=712464547)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322656600293019,0,19,8,36.586642816,-121.75308208399998,202.53379999999999,11.288000106811523,-10.01200008392334,0.289000004529953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=712464547)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322656400475814,0,0,8,36.586634837,-121.75307456300001,202.0108,10.880000114440918,-9.89900016784668,0.3269999921321869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=909564875)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322656800292925,0,19,8,36.58666363,-121.75310437,202.4778,11.86299991607666,-9.932000160217285,0.3400000035762787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477838, nanosec=909564875)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322656600475708,0,0,8,36.58665503,-121.75309667,201.9553,11.487000465393066,-9.791999816894531,0.28200000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
