stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=747745493)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=747745493)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=747745493)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=747745493)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=747745493)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=747740669)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=747740669)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=747740669)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=747740669)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=747740669)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=747760633)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=747760633)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=747760633)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=747760633)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=747760633)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748242621)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748242621)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748242621)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748242621)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748242621)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747799520)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747799520)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747799520)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747799520)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747799520)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748364742)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748364742)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748364742)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748364742)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748364742)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747802342)",-100.0,-100.0,-100.0,-100.0
