time,pred0_x,pred0_y,pred1_x,pred1_y,pred2_x,pred2_y
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=441953609)",0.14681929349899292,-0.00042027729796245694,0.6694862246513367,-0.0006228596321307123,1.3054248094558716,-0.004245895892381668
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=451658647)",0.1473928838968277,-0.00042191846296191216,0.6720990538597107,-0.0006743956473655999,1.308037281036377,-0.004336109384894371
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=461228429)",0.14762051403522491,-0.0004225697775837034,0.6731362342834473,-0.0006423888844437897,1.3090744018554688,-0.004324187058955431
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=471860431)",0.1478591412305832,-0.00042325255344621837,0.6742235422134399,-0.0005942988209426403,1.3101617097854614,-0.004285146482288837
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=482220860)",0.14807464182376862,-0.00042386914719827473,0.6752053499221802,-0.0005826081614941359,1.3111435174942017,-0.0042800577357411385
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=492320526)",0.148287832736969,-0.00042447910527698696,0.6761764287948608,-0.0005976756801828742,1.3121145963668823,-0.004304219968616962
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=501576334)",0.14682988822460175,-0.0004505504039116204,0.6765864491462708,-0.0006538343150168657,1.3125505447387695,-0.004392317961901426
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=511695080)",0.14664003252983093,-0.00044997199438512325,0.6757209897041321,-0.0007647548336535692,1.3116846084594727,-0.0045557268895208836
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=521310825)",0.1468258500099182,-0.00045053812209516764,0.6765673756599426,-0.0007946017431095243,1.312530517578125,-0.0046380735002458096
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=531444878)",0.1470089703798294,-0.00045109601342119277,0.6774017810821533,-0.0007590643945150077,1.313364863395691,-0.004632506985217333
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=541563960)",0.14719395339488983,-0.0004516596090979874,0.6782447695732117,-0.0007029632688499987,1.3142077922821045,-0.004597383085638285
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=551646207)",0.14741240441799164,-0.00045232512638904154,0.6792400479316711,-0.000688596221152693,1.3152029514312744,-0.00460613239556551
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=561678672)",0.14780113101005554,-0.00045350941945798695,0.6810104846954346,-0.0007848720997571945,1.3169728517532349,-0.00474617350846529
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=571727070)",0.1479807198047638,-0.0004540565423667431,0.6818280816078186,-0.0008809548453427851,1.3177900314331055,-0.004883461631834507
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=581546607)",0.14819568395614624,-0.00045471146586351097,0.6828069686889648,-0.0009651813888922334,1.3187685012817383,-0.005001874640583992
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=593048680)",0.14819568395614624,-0.00045471146586351097,0.6828069686889648,-0.0009695434710010886,1.3187683820724487,-0.005014509428292513
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=601928002)",0.15091778337955475,-0.000469003280159086,0.688114583492279,-0.0009246498229913414,1.3240993022918701,-0.004983569961041212
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=611640650)",0.15111705660820007,-0.00046962234773673117,0.6890225410461426,-0.0008961335988715291,1.3250073194503784,-0.0049712881445884705
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=621483005)",0.15128371119499207,-0.00047014004667289555,0.6897816061973572,-0.0009277442586608231,1.3257660865783691,-0.0050353012047708035
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=631632946)",0.15128371119499207,-0.00047014004667289555,0.6897815465927124,-0.0009440738940611482,1.3257657289505005,-0.005082511343061924
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=641828311)",0.151575967669487,-0.0004710479697678238,0.691112220287323,-0.0010835222201421857,1.327095866203308,-0.005258775781840086
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=651861821)",0.15199340879917145,-0.00047234477824531496,0.693013608455658,-0.0011470149038359523,1.3289968967437744,-0.00535472622141242
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=661901194)",0.15214094519615173,-0.00047280307626351714,0.6936858892440796,-0.001113701262511313,1.3296691179275513,-0.005333625711500645
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=671551256)",0.15228770673274994,-0.00047325901687145233,0.694354772567749,-0.0010575414635241032,1.3303382396697998,-0.005273787304759026
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=681916437)",0.15504583716392517,-0.0004402583872433752,0.6977617740631104,-0.000937921809963882,1.33377206325531,-0.005134256556630135
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=691524951)",0.15522372722625732,-0.0004407675878610462,0.6985719799995422,-0.000973447400610894,1.3345820903778076,-0.005199484061449766
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=701864717)",0.15522372722625732,-0.0004407675878610462,0.6985719203948975,-0.000991874374449253,1.334581732749939,-0.0052527072839438915
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=712299958)",0.15586450695991516,-0.00044260171125642955,0.7014901041984558,-0.0011745183728635311,1.3374987840652466,-0.005525775719434023
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=722842655)",0.15553617477416992,-0.0004416618903633207,0.6999944448471069,-0.0011602906743064523,1.3360029458999634,-0.005537551827728748
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=731456498)",0.15571017563343048,-0.00044215997331775725,0.7007874846458435,-0.0010916731553152204,1.3367961645126343,-0.005475420504808426
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=741688069)",0.15592390298843384,-0.0004427717358339578,0.7017614841461182,-0.0010251491330564022,1.3377703428268433,-0.005402939394116402
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=752023697)",0.1563228964805603,-0.00044391377014108,0.7035790085792542,-0.0010472588473930955,1.339587926864624,-0.005419775377959013
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=762146171)",0.15646596252918243,-0.00044432326103560627,0.7042306065559387,-0.0010735794203355908,1.340239405632019,-0.005457690451294184
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=771711859)",0.1525789350271225,-0.0004040424828417599,0.7007448077201843,-0.001020713010802865,1.336771845817566,-0.005395921878516674
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=781739580)",0.15269996225833893,-0.0004043613444082439,0.7012959122657776,-0.001066851895302534,1.33732271194458,-0.005467462353408337
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=791854412)",0.1528325229883194,-0.00040471067768521607,0.7018998265266418,-0.0010723468149080873,1.3379263877868652,-0.005498900078237057
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=801766976)",0.1532185822725296,-0.0004057279147673398,0.7036585211753845,-0.0010829571401700377,1.3396849632263184,-0.005523930303752422
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=812817920)",0.15335507690906525,-0.0004060875508002937,0.7042802572250366,-0.001091541489586234,1.3403066396713257,-0.00554504431784153
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=821808079)",0.1535058170557022,-0.0004064847598783672,0.7049667239189148,-0.0011369858402758837,1.3409929275512695,-0.005607860628515482
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=831705660)",0.15366460382938385,-0.00040690312744118273,0.7056898474693298,-0.0011910691391676664,1.341715693473816,-0.005688249599188566
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=842508729)",0.1537989377975464,-0.00040725708822719753,0.706301748752594,-0.0012020919239148498,1.3423274755477905,-0.0057143038138747215
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=851693190)",0.1539413183927536,-0.0004076322657056153,0.7069505453109741,-0.0011662914184853435,1.3429762125015259,-0.005696030333638191
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=861371397)",0.15293969213962555,-0.0004399024765007198,0.706825315952301,-0.001100997906178236,1.3428778648376465,-0.0056345402263104916
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=871955599)",0.153049036860466,-0.0004402141785249114,0.7073234915733337,-0.0010958624770864844,1.3433758020401,-0.005647916812449694
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=882199682)",0.1531488448381424,-0.00044049869757145643,0.7077779173851013,-0.0011531527852639556,1.343829870223999,-0.005742411594837904
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=896985823)",0.1532396674156189,-0.0004407575761433691,0.7081912755966187,-0.0012169689871370792,1.344242811203003,-0.005840016528964043
"builtin_interfaces.msg.Time(sec=1751477693, nanosec=701879367)",0.15621206164360046,-0.0001526085688965395,0.7344552874565125,-0.0008662991458550096,1.370477318763733,-0.005058726761490107
"builtin_interfaces.msg.Time(sec=1751477693, nanosec=731859656)",0.16662462055683136,-0.00034371615038253367,0.743459939956665,-0.0008857114007696509,1.3794677257537842,-0.005107942968606949
"builtin_interfaces.msg.Time(sec=1751477693, nanosec=772115580)",0.16695725917816162,-0.0003444116155151278,0.7449753880500793,-0.000872835167683661,1.3809833526611328,-0.005078907590359449
"builtin_interfaces.msg.Time(sec=1751477693, nanosec=792242742)",0.16710932552814484,-0.0003447295748628676,0.7456677556037903,-0.0009479446453042328,1.3816754817962646,-0.005166823975741863
