stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=962796218)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=973297845)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=971912666)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=985540987)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=19880671)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=22016300)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=58302334)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61274006)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=64188915)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=66989362)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=91153938)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=118385040)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=123169461)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=134230302)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=131993599)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=134564642)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=133753984)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=135443087)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140245459)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142298099)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=155247108)",/novatel_side/oem7raw,56
