stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=752783682)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762794112)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=772770810)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=782771207)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=793765896)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802793027)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=813020245)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=822858000)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=832794521)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=843689289)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852765482)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=862774892)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874886835)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=882895899)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=893864236)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902810576)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=912805247)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=922841830)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932795646)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942790607)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=952786508)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=962796563)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=972795166)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=982780394)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=992817729)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=2803401)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=12782735)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=22784481)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=32788549)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=42776223)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=52785602)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=62814055)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=72784515)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=82835666)",1,0,0,True,-32.0
