stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746785901)",23.400000000000006,24.5,24.400000000000006,25.200000000000003
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746785901)",23.400000000000006,24.5,24.400000000000006,25.200000000000003
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746785901)",23.400000000000006,24.5,24.400000000000006,25.200000000000003
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746761993)",23.30000000000001,22.60000000000001,22.700000000000003,23.10000000000001
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746761993)",23.30000000000001,22.60000000000001,22.700000000000003,23.10000000000001
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746761993)",23.30000000000001,22.60000000000001,22.700000000000003,23.10000000000001
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746761993)",23.30000000000001,22.60000000000001,22.700000000000003,23.10000000000001
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746761993)",23.30000000000001,22.60000000000001,22.700000000000003,23.10000000000001
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746803114)",24.0,24.10000000000001,24.0,23.60000000000001
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746803114)",24.0,24.10000000000001,24.0,23.60000000000001
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746803114)",24.0,24.10000000000001,24.0,23.60000000000001
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746803114)",24.0,24.10000000000001,24.0,23.60000000000001
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746803114)",24.0,24.10000000000001,24.0,23.60000000000001
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=746770871)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=746770871)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=746770871)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=746770871)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=746770871)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=746764933)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=746764933)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=746764933)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=746764933)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=746764933)",23.700000000000003,24.10000000000001,24.900000000000006,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=746783378)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=746783378)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=746783378)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=746783378)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=746783378)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=746795759)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=746795759)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=746795759)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=746795759)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
