stamp,wheel_potentiometer_rr,wheel_potentiometer_rl,wheel_potentiometer_fr,wheel_potentiometer_fl
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=543817976)",43.87,44.12,35.7,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=743802581)",43.81,44.02,35.730000000000004,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=943821433)",43.75,44.12,35.730000000000004,35.39
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=145953027)",43.74,44.09,35.730000000000004,35.37
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=343840757)",43.68,44.25,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=543851980)",43.64,44.52,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=743833035)",43.61,44.37,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=943825702)",43.57,44.36,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=143813051)",43.46,44.27,35.75,35.21
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=343843125)",43.42,44.26,35.75,35.27
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=543898340)",43.39,44.25,35.75,35.25
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=743926313)",43.410000000000004,44.25,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=943858378)",43.44,44.21,35.730000000000004,35.37
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=143850590)",43.480000000000004,44.160000000000004,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=343853448)",43.52,44.21,35.75,35.43
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=543823777)",43.61,44.2,35.730000000000004,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=743809845)",43.6,44.2,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=943801689)",43.64,44.24,35.730000000000004,35.29
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=143965526)",43.7,44.18,35.7,35.34
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=344058006)",43.800000000000004,44.12,35.7,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=543982548)",43.74,44.18,35.730000000000004,35.36
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=743857542)",43.58,44.26,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=943891650)",43.480000000000004,44.26,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=143884801)",43.5,44.37,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=343850199)",43.660000000000004,44.19,35.68,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=543840788)",43.68,44.12,35.730000000000004,35.37
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=743884085)",43.69,44.15,35.68,35.25
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=943834700)",43.6,44.27,35.730000000000004,35.09
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=143890979)",43.64,44.160000000000004,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=343932708)",43.81,44.03,35.730000000000004,35.29
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=543844273)",43.800000000000004,44.04,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=743949478)",43.75,44.050000000000004,35.730000000000004,35.2
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=943907009)",43.69,44.15,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=143947506)",43.59,44.27,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=344029696)",43.59,44.29,35.730000000000004,35.21
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=543923937)",43.52,44.33,35.730000000000004,35.14
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=743860706)",43.39,44.4,35.730000000000004,35.14
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=943863378)",43.5,44.29,35.660000000000004,35.36
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=153843600)",43.6,44.26,35.7,35.39
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=343935207)",43.660000000000004,44.160000000000004,35.730000000000004,35.57
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=543947230)",43.52,44.37,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=743979213)",43.410000000000004,44.480000000000004,35.75,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=943841847)",43.660000000000004,44.24,35.71,35.550000000000004
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=143926012)",43.75,44.2,35.71,35.5
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=343896435)",43.64,44.26,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=543871492)",43.62,44.27,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=744241836)",43.550000000000004,44.36,35.75,35.21
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=943966266)",43.46,44.37,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=143907610)",43.62,44.31,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=344011457)",43.69,44.21,35.64,35.38
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=544007712)",43.6,44.19,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=743866825)",43.59,44.21,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=943996979)",43.62,44.18,35.7,35.34
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=146761445)",43.59,44.21,35.71,35.25
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=343896319)",43.58,44.27,35.68,35.25
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=546498997)",43.58,44.26,35.75,35.43
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=743908408)",43.64,44.25,35.730000000000004,35.45
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=943958472)",43.59,44.35,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=146290777)",43.57,44.35,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=344044661)",43.76,44.26,35.63,35.43
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=543921033)",43.7,44.24,35.71,35.43
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=743965734)",43.59,44.300000000000004,35.75,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=946886740)",43.64,44.33,35.64,35.18
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=144287022)",43.52,44.27,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=345844461)",43.35,44.37,35.75,34.980000000000004
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=743941584)",43.44,44.32,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=944106863)",43.52,44.25,35.730000000000004,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=143993163)",43.49,44.160000000000004,35.64,35.34
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=344115626)",43.61,44.12,35.57,35.46
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=543896900)",43.75,43.96,35.59,35.57
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=744825650)",43.550000000000004,44.19,35.75,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=944756964)",43.480000000000004,44.43,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=144754052)",43.36,44.33,35.75,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=345642036)",43.300000000000004,44.49,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=544260011)",43.39,44.410000000000004,35.75,35.29
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=744823999)",43.46,44.4,35.75,35.37
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=944749425)",43.27,44.64,35.78,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=144776061)",43.24,44.69,35.730000000000004,35.03
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=345146432)",43.300000000000004,44.51,35.730000000000004,35.2
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=544752054)",43.36,44.58,35.730000000000004,35.12
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=744784019)",43.44,44.21,35.7,35.36
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=944762541)",43.53,44.21,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=144762612)",43.36,44.52,35.730000000000004,34.910000000000004
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=344841190)",43.36,44.42,35.75,35.13
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=544804206)",43.46,44.32,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=746422606)",43.65,44.21,35.730000000000004,35.37
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=960691280)",43.75,44.21,35.68,35.34
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=144866051)",43.69,44.09,35.75,35.53
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=349316327)",43.71,44.18,35.71,35.18
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=544802102)",43.550000000000004,44.21,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=745978317)",43.7,44.050000000000004,35.730000000000004,35.46
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=945363401)",43.76,44.1,35.68,35.27
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=150708878)",43.53,44.37,35.78,35.09
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=344854587)",43.480000000000004,44.37,35.730000000000004,35.09
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=544849132)",43.81,43.87,35.59,35.54
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=744846168)",43.7,43.96,35.730000000000004,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=944856864)",43.83,44.24,35.54,35.34
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=144814220)",43.910000000000004,43.86,35.71,35.57
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=344803245)",43.75,44.19,35.75,35.29
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=545956464)",43.82,44.160000000000004,35.730000000000004,35.43
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=745014566)",43.660000000000004,44.26,35.75,35.36
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=944853484)",43.7,44.21,35.75,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=144958696)",43.77,44.2,35.730000000000004,35.46
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=344902429)",43.7,44.18,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=544919064)",43.59,44.37,35.78,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=745624516)",43.54,44.42,35.75,35.21
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=949929010)",43.65,44.37,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=144839384)",43.68,44.32,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=344962349)",43.7,44.26,35.730000000000004,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=544874396)",43.71,44.27,35.75,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=744858098)",43.69,44.300000000000004,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=945221021)",43.7,44.29,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=144871495)",43.76,44.2,35.730000000000004,35.43
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=344849311)",43.74,44.1,35.730000000000004,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=545046498)",43.82,44.04,35.730000000000004,35.57
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=745037934)",43.92,43.96,35.660000000000004,35.52
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=944940275)",43.75,44.1,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=144906988)",43.62,44.2,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=345347487)",43.49,44.31,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=544867143)",43.53,44.32,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=745484236)",43.480000000000004,44.480000000000004,35.730000000000004,35.09
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=945076545)",43.300000000000004,44.62,35.75,34.93
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=145608987)",43.25,44.7,35.75,34.910000000000004
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=344967469)",43.08,44.92,35.800000000000004,34.96
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=546523473)",43.21,44.86,35.75,34.96
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=744874654)",43.27,44.4,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=945687927)",43.59,44.32,35.730000000000004,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=545192019)",43.93,43.93,35.550000000000004,35.52
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=745332046)",43.99,43.87,35.59,35.57
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=946051812)",44.02,43.85,35.550000000000004,35.550000000000004
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=144906124)",43.93,44.03,35.730000000000004,35.59
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=345034959)",43.910000000000004,44.15,35.730000000000004,35.59
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=544962366)",44.53,43.7,35.21,35.57
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=744969981)",44.1,43.75,35.730000000000004,35.550000000000004
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=944967599)",43.62,44.27,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=144974735)",43.7,44.27,35.64,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=344960538)",43.660000000000004,44.26,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=545138023)",43.64,44.26,35.71,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=745205546)",43.57,44.26,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=944978090)",43.49,44.27,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=145113979)",43.57,44.25,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=344981615)",43.69,44.27,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=545676091)",43.81,44.1,35.68,35.57
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=744905944)",43.71,44.15,35.75,35.37
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=945009640)",43.62,44.27,35.730000000000004,35.230000000000004
