stamp,throttle_position,current_gear,engine_speed_rpm,vehicle_speed_kmph,engine_run_switch,engine_state,gear_shift_status
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61881168)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71971851)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81853696)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91825059)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101875509)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111877764)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121841225)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=131865054)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141889702)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151856216)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161836111)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171834996)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181879510)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191868303)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=201840142)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211836995)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221876745)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231871131)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=242008679)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254536955)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263051112)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271818390)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=281800265)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=291997060)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=302016558)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=312036059)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321822122)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331863278)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342343936)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351840374)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=361835040)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371830738)",5.9,1,751.0,0.0,True,True,2
