stamp,engine_oil_temperature,torque_wheels,driver_traction_aim_switch_fbk,driver_traction_range_switch_fbk
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261913833)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272464369)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281818648)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291850382)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302620419)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311867508)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321877784)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331910522)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341900726)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351847468)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362641378)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371900156)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381911011)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391891096)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401907011)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412469055)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422777016)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431933101)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441993088)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451905550)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461894906)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471944453)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481901762)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=492001004)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502185002)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511931996)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521903095)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531892243)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541888418)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551922064)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561944930)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571883363)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582220464)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591846158)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=602013775)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611845422)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621829504)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631859581)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641928630)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651873608)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661860941)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671848260)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683102644)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691899755)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702705199)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711952241)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721947993)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731839369)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741882306)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751819799)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762313191)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771826046)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781889262)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791961229)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802333493)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811899851)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821917884)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831915100)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841905239)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852372088)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861887884)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874659883)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=881909899)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=891872135)",29.0,-8.700000000000001,0,0
