stamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321029384)",0.0,0.0,0.0,-0.01706412248313427,-0.006226127967238426,0.594386637210846,0.8039743304252625
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331030152)",0.0,0.0,0.0,-0.017058607190847397,-0.006244644057005644,0.5943846106529236,0.8039757013320923
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341031688)",0.0,0.0,0.0,-0.017060233280062675,-0.006214448716491461,0.5943906307220459,0.803971529006958
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351032456)",0.0,0.0,0.0,-0.017083140090107918,-0.006214303430169821,0.5943922996520996,0.8039698004722595
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=361031432)",0.0,0.0,0.0,-0.01707480475306511,-0.006211534608155489,0.5943764448165894,0.8039817214012146
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371035528)",0.0,0.0,0.0,-0.017058013007044792,-0.0062259165570139885,0.5943691730499268,0.8039873242378235
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381037320)",0.0,0.0,0.0,-0.017041493207216263,-0.006202055141329765,0.5943697094917297,0.8039875030517578
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391038088)",0.0,0.0,0.0,-0.017055749893188477,-0.006206951569765806,0.5943760871887207,0.8039823770523071
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401035808)",0.0,0.0,0.0,-0.017044631764292717,-0.006191238295286894,0.5943723320960999,0.8039855360984802
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=411040392)",0.0,0.0,0.0,-0.017038019374012947,-0.006208066828548908,0.5943721532821655,0.8039856553077698
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421041928)",0.0,0.0,0.0,-0.017026349902153015,-0.006183885503560305,0.5943787097930908,0.8039812445640564
