stamp,time_ref,source
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=70987632)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=80985608)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=90989192)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=100989728)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=110993824)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=120993800)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140999176)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150999944)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160997664)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171002248)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181006600)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191010440)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201008160)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211012744)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221014280)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231017864)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241019912)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251020680)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261018400)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=271022984)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281024520)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291025288)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=301023264)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311026848)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321029384)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331030152)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341031688)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351032456)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=361031432)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371035528)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381037320)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391038088)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401035808)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=411040392)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421041928)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431044256)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441044488)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451048072)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461048864)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471050376)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481049096)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491051680)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501053472)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511054240)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521053960)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531057544)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541059080)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551059848)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561059080)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571062664)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581064200)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591064968)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601063688)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611067272)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621069064)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631069576)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641069576)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651073160)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661075208)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671074976)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681074952)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691077536)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=701080072)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711079840)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721079816)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731083400)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741085448)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751086216)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=761086192)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771088776)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
