stamp,motor_duty_cycle_cmd,motor_duty_cycle_fbk,motor_current_fbk,sbw_ecu_voltage,sbw_ecu_temp,sbw_error_code,sbw_motor_torque_estimate
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251775527)",-92.0,-91.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261070568)",-72.0,-71.0,27.0,14.200000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272308200)",-61.0,-60.0,25.0,14.200000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281646765)",-55.0,-54.0,24.0,14.100000000000001,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=290969029)",-65.0,-64.0,22.0,14.200000000000001,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302457656)",-53.0,-52.0,21.0,14.200000000000001,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311140338)",-50.0,-49.0,19.0,14.200000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=320967157)",-41.0,-40.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331757442)",-53.0,-52.0,18.0,14.200000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341370754)",-41.0,-40.0,17.0,14.200000000000001,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351076943)",-42.0,-41.0,16.0,14.200000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=360931566)",-37.0,-35.0,16.0,14.100000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371757925)",-43.0,-42.0,15.0,14.3,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381766886)",-39.0,-38.0,15.0,14.200000000000001,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391760487)",-32.0,-31.0,14.0,14.200000000000001,30.0,0,11.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401065458)",-35.0,-33.0,13.0,14.100000000000001,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412312895)",-41.0,-40.0,13.0,14.3,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422676788)",-34.0,-33.0,12.0,14.200000000000001,30.0,0,9.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431799721)",-34.0,-33.0,12.0,14.100000000000001,30.0,0,9.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=450985566)",-31.0,-29.0,11.0,14.3,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461004914)",-35.0,-33.0,11.0,14.200000000000001,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471844908)",-33.0,-31.0,11.0,14.100000000000001,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481009660)",-28.0,-26.0,10.0,14.100000000000001,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491030198)",-37.0,-35.0,10.0,14.3,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501004241)",-26.0,-24.0,10.0,14.3,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511829545)",-36.0,-35.0,9.0,14.100000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521205198)",-30.0,-29.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=530971147)",-30.0,-29.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541090410)",-25.0,-24.0,9.0,14.3,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551045803)",-39.0,-38.0,9.0,14.100000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561773885)",-28.0,-26.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571061844)",-34.0,-33.0,8.0,14.3,30.0,0,5.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582108011)",-100.0,-99.0,10.0,13.8,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=590933101)",-35.0,-99.0,14.0,13.8,30.0,0,11.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=600931640)",-100.0,-33.0,14.0,14.100000000000001,30.0,0,11.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=610921893)",-45.0,-99.0,17.0,13.9,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=620921826)",-71.0,-44.0,17.0,14.200000000000001,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631762083)",-65.0,-70.0,18.0,14.100000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641241808)",-100.0,-64.0,18.0,14.0,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=650983415)",-100.0,-99.0,21.0,14.0,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=660958573)",-100.0,-99.0,24.0,14.0,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671027423)",-100.0,-99.0,25.0,14.0,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681752555)",-100.0,-99.0,26.0,13.9,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691764305)",-100.0,-99.0,26.0,14.100000000000001,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=701182206)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=710931214)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721778630)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=730934403)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=740910483)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751112023)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=761156248)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=770924163)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=780979291)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791329807)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802176998)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811757886)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821765203)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831019665)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=840941095)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=851215732)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=860955467)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874476812)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=901922178)",-100.0,-99.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911775470)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921780896)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=931056542)",-100.0,-99.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=941770214)",-100.0,-99.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951762051)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=960990537)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971710862)",-91.0,-99.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981247689)",-75.0,-90.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991080928)",-54.0,-74.0,26.0,14.100000000000001,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=957049)",-67.0,-53.0,24.0,14.100000000000001,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=20982959)",-49.0,-54.0,21.0,14.200000000000001,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31769294)",-63.0,-48.0,20.0,14.200000000000001,30.0,0,17.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41773886)",-14.0,-62.0,20.0,14.0,30.0,0,17.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51011786)",-48.0,-13.0,18.0,14.3,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61759566)",-20.0,-47.0,18.0,14.100000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71153117)",80.0,-18.0,16.0,14.200000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81769240)",44.0,80.0,16.0,13.9,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91171428)",100.0,44.0,16.0,14.3,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101795282)",100.0,100.0,18.0,14.0,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111756916)",100.0,100.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=120989347)",100.0,100.0,19.0,14.0,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=130993429)",100.0,100.0,18.0,14.3,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141765251)",100.0,100.0,18.0,14.100000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151007034)",100.0,100.0,17.0,14.100000000000001,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161003959)",100.0,100.0,17.0,14.0,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171092899)",100.0,100.0,18.0,14.100000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181759138)",100.0,100.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191755908)",100.0,100.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=200899041)",100.0,100.0,19.0,14.0,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211335635)",100.0,100.0,20.0,14.100000000000001,30.0,0,17.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221755389)",100.0,100.0,22.0,14.0,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231754390)",100.0,100.0,22.0,14.0,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=241880643)",100.0,100.0,23.0,14.0,30.0,0,20.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254420817)",100.0,100.0,24.0,14.100000000000001,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=262921444)",100.0,100.0,24.0,14.0,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271742691)",100.0,100.0,25.0,14.100000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=280906356)",100.0,100.0,25.0,14.0,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=291914284)",100.0,100.0,25.0,14.100000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=301933794)",100.0,100.0,25.0,14.100000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=310923181)",100.0,100.0,26.0,14.100000000000001,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321744254)",100.0,100.0,26.0,14.0,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331785406)",100.0,100.0,26.0,14.100000000000001,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342221291)",100.0,100.0,26.0,14.100000000000001,30.0,0,23.0
