stamp,position_x,position_y,position_z,rpy_x,rpy_y,rpy_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,slip_angle_x,slip_angle_y,slip_angle_z,slip_angle_front,slip_angle_rear,trust,status
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=969669372)",-91.47685601070468,-422.3368942162146,0.0,0.0,0.0,-1.051015147646714,13.287257356203995,0.24478031156143829,0.0,-1.7207383770246665,4.538584319659158,0.0,0.0,0.0,0.28890843288115114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=979642530)",-91.40747186076639,-422.4523732251425,0.0,0.0,0.0,-1.0480382069017073,13.272912976740074,0.2517380204905457,0.0,-1.9681191484987692,4.523930492922706,0.0,0.0,0.0,0.30061942654177276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=989930790)",-91.33760023043021,-422.56765041693444,0.0,0.0,0.0,-1.0449776544211207,13.260554983441988,0.2470357910288656,0.0,-1.8238434315907952,3.451046428541316,0.0,0.0,0.0,0.3092715850282563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=999737496)",-91.26553279950514,-422.68473484292736,0.0,0.0,0.0,-1.041922840212456,13.250471563019568,0.24224686961137096,0.0,-1.8970422028233858,3.33179938865806,0.0,0.0,0.0,0.3090818125658968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=10062505)",-91.17934357352452,-422.8123130377787,0.0,0.0,0.0,-1.0389270913761752,13.2550743957195,0.24924906816581563,0.0,-2.119121575194851,3.4359852032336136,0.0,0.0,0.0,0.3064920329507898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=20219457)",-91.10858891067343,-422.92675726441365,0.0,0.0,0.0,-1.0359378554569285,13.235730038536197,0.25043880639166743,0.0,-2.507961420854279,3.9436573822948553,0.0,0.0,0.0,0.3020977643875458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=29918917)",-91.03788776534445,-423.0404096441864,0.0,0.0,0.0,-1.033016349752414,13.214552573363598,0.246350574281389,0.0,-2.5576769011182727,3.3376764538467243,0.0,0.0,0.0,0.2946433364691259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=40028892)",-90.96692919254453,-423.15375826072767,0.0,0.0,0.0,-1.0301215289356245,13.193658389522163,0.24275917408824332,0.0,-2.5460757400825313,3.3398765707456626,0.0,0.0,0.0,0.29207830920530936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=49931298)",-90.89533497758042,-423.2672679479712,0.0,0.0,0.0,-1.0272604345167462,13.176317856475112,0.24137351842612023,0.0,-2.3519884731474803,3.481449157743363,0.0,0.0,0.0,0.2895490095342432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=59954654)",-90.8234492946049,-423.3804995018522,0.0,0.0,0.0,-1.0244096574493957,13.158646939048412,0.2457288349020328,0.0,-2.401511917289457,4.032953151844446,0.0,0.0,0.0,0.2885900718411169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=69785797)",-90.75149492157367,-423.49311003528004,0.0,0.0,0.0,-1.0215448580003565,13.138448664310069,0.2504996502496967,0.0,-2.575540822091162,4.102133818816326,0.0,0.0,0.0,0.28954288866464956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=80567211)",-90.68052690353146,-423.60356063686567,0.0,0.0,0.0,-1.0186421547962743,13.114383615547466,0.24861871197834107,0.0,-2.465968767094732,3.571173026524496,0.0,0.0,0.0,0.2894948823799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=90058509)",-90.60796546510815,-423.71550507055184,0.0,0.0,0.0,-1.0157553441934462,13.100941117377523,0.24434038777673037,0.0,-1.943079711150305,3.198172226684791,0.0,0.0,0.0,0.2919920432311642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=99623328)",-90.53292783593676,-423.8292050476778,0.0,0.0,0.0,-1.0128374065491044,13.092191257421886,0.2455101712979237,0.0,-1.7746725419886742,3.6537882474139933,0.0,0.0,0.0,0.2951635068079393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477890, nanosec=109727819)",-90.45966406153806,-423.9407600500363,0.0,0.0,0.0,-1.009845826260852,13.077920884770883,0.24611536323859023,0.0,-2.0843045414915924,3.8059557653369525,0.0,0.0,0.0,0.3027369640617527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
