stamp,source_topic,battery_voltage,system_voltage,system_temperature,system_mode,system_ok,laser_ok,scanner_ok,receiver_ok,datapath_ok
"builtin_interfaces.msg.Time(sec=1751477688, nanosec=995009370)",/luminar_left/status,13.919618606567383,0.0,32.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477688, nanosec=995098964)",/luminar_front/status,13.843886375427246,0.0,31.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477688, nanosec=995068646)",/luminar_right/status,14.419452667236328,0.0,30.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477690, nanosec=995229113)",/luminar_left/status,13.904472351074219,0.0,32.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477690, nanosec=995349199)",/luminar_front/status,13.843886375427246,0.0,31.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477690, nanosec=995310629)",/luminar_right/status,14.37401294708252,0.0,30.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=996251497)",/luminar_left/status,13.965058326721191,0.0,32.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=996346801)",/luminar_front/status,13.813592910766602,0.0,31.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=996315338)",/luminar_right/status,14.343720436096191,0.0,30.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477694, nanosec=996469134)",/luminar_left/status,13.85903263092041,0.0,32.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477694, nanosec=996572769)",/luminar_front/status,13.843886375427246,0.0,31.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477694, nanosec=996539393)",/luminar_right/status,14.298280715942383,0.0,30.0,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477696, nanosec=996711601)",/luminar_left/status,13.99535083770752,0.0,32.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477696, nanosec=996924517)",/luminar_front/status,13.889325141906738,0.0,31.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477696, nanosec=996777594)",/luminar_right/status,14.37401294708252,0.0,29.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477698, nanosec=997231560)",/luminar_left/status,13.965058326721191,0.0,32.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477698, nanosec=997335053)",/luminar_front/status,13.889325141906738,0.0,31.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477698, nanosec=997291228)",/luminar_right/status,14.343720436096191,0.0,29.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477700, nanosec=997501823)",/luminar_left/status,13.980204582214355,0.0,32.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477700, nanosec=997619729)",/luminar_front/status,13.813592910766602,0.0,31.0,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477700, nanosec=997578161)",/luminar_right/status,14.37401294708252,0.0,29.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477702, nanosec=997756279)",/luminar_left/status,13.889325141906738,0.0,32.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477702, nanosec=997850294)",/luminar_front/status,13.904472351074219,0.0,30.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477702, nanosec=997819793)",/luminar_right/status,14.328573226928711,0.0,29.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477704, nanosec=997977398)",/luminar_left/status,13.934764862060547,0.0,32.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477704, nanosec=998075681)",/luminar_front/status,13.753006935119629,0.0,30.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477704, nanosec=998043612)",/luminar_right/status,14.267987251281738,0.0,29.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477706, nanosec=998169675)",/luminar_left/status,13.949911117553711,0.0,31.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477706, nanosec=998263240)",/luminar_front/status,13.828739166259766,0.0,30.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477706, nanosec=998231405)",/luminar_right/status,14.328573226928711,0.0,29.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=998388027)",/luminar_left/status,13.934764862060547,0.0,31.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=998478150)",/luminar_front/status,13.828739166259766,0.0,30.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=998445499)",/luminar_right/status,14.434598922729492,0.0,29.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477712, nanosec=998814155)",/luminar_left/status,13.919618606567383,0.0,31.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477712, nanosec=998911526)",/luminar_front/status,13.7227144241333,0.0,30.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477712, nanosec=998876810)",/luminar_right/status,14.343720436096191,0.0,29.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477714, nanosec=999037016)",/luminar_left/status,13.828739166259766,0.0,31.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477714, nanosec=999130052)",/luminar_front/status,13.828739166259766,0.0,30.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477714, nanosec=999099437)",/luminar_right/status,14.419452667236328,0.0,29.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477716, nanosec=999250668)",/luminar_left/status,14.010497093200684,0.0,31.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477716, nanosec=999335958)",/luminar_front/status,13.889325141906738,0.0,30.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477716, nanosec=999310592)",/luminar_right/status,14.358866691589355,0.0,29.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477718, nanosec=999462741)",/luminar_left/status,13.934764862060547,0.0,31.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477718, nanosec=999576833)",/luminar_front/status,13.828739166259766,0.0,30.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477718, nanosec=999535721)",/luminar_right/status,14.37401294708252,0.0,29.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477720, nanosec=999668335)",/luminar_left/status,13.980204582214355,0.0,31.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477720, nanosec=999759535)",/luminar_front/status,13.843886375427246,0.0,30.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477720, nanosec=999728862)",/luminar_right/status,14.37401294708252,0.0,29.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477722, nanosec=999877682)",/luminar_left/status,13.919618606567383,0.0,31.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477722, nanosec=999969558)",/luminar_front/status,13.798446655273438,0.0,30.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477722, nanosec=999937004)",/luminar_right/status,14.298280715942383,0.0,29.0,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477725, nanosec=90345)",/luminar_left/status,13.919618606567383,0.0,31.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477725, nanosec=204252)",/luminar_front/status,13.904472351074219,0.0,30.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477725, nanosec=170405)",/luminar_right/status,14.328573226928711,0.0,28.9375,2,True,True,True,True,True
