stamp,engine_oil_pressure,fuel_pressure,coolant_temperature,transmission_temperature,transmission_pressure
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471901926)",298.8,536.8000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481859436)",298.8,510.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491929104)",298.8,505.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502118944)",298.8,524.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511885154)",298.8,534.2,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521859769)",298.8,509.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531824538)",302.7,507.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541820117)",302.7,529.4,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551851396)",302.7,533.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561870643)",302.7,509.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571810376)",302.7,507.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582178649)",302.7,527.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591803738)",302.7,534.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601972458)",302.7,508.90000000000003,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611802255)",302.7,506.70000000000005,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621787058)",302.7,529.4,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631818396)",305.6,528.6,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641855033)",305.6,507.8,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651823056)",305.6,506.70000000000005,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661813123)",305.6,527.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671800072)",305.6,531.2,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681808552)",305.6,507.8,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691822786)",305.6,506.3,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702636830)",305.6,527.5,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711891215)",305.6,528.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721874364)",305.6,508.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731797035)",307.6,505.90000000000003,37.0,0.0,6340.0
