stamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241019912)",-0.005492054857313633,0.0026716208085417747,0.0035361475311219692,-0.002717315685003996,0.0007196745718829334,-0.004625337198376656
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251020680)",-0.005191180855035782,0.0010614191414788365,-0.0003297794610261917,0.014082933776080608,0.000832392368465662,0.0023741424083709717
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261018400)",-0.004744432400912046,-0.0015548730734735727,-0.0022618980146944523,0.013723422773182392,0.005385120864957571,0.0009821573039516807
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=271022984)",-0.0010328639764338732,-0.0011510185431689024,0.0002763663651421666,-0.004142763093113899,-0.0014349097618833184,-0.0064108846709132195
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281024520)",-0.003186457557603717,0.003272964619100094,0.0031672706827521324,-0.005411088932305574,-0.0016198253724724054,-0.0017099708784371614
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291025288)",-0.004420517478138208,0.00021805506548844278,-4.1732448153197765e-05,0.014114714227616787,0.0030932724475860596,0.0015105444472283125
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=301023264)",-0.005323844496160746,-0.0032670681830495596,-0.002072330564260483,0.014025909826159477,0.004317309707403183,-0.002684196690097451
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311026848)",-0.003906788770109415,-0.0023632629308849573,0.0009016070398502052,-0.006309347692877054,-0.002392725320532918,-0.009260923601686954
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321029384)",-0.00827800203114748,0.0043670968152582645,0.0038200418930500746,-0.009025882929563522,0.000294971076073125,-0.002420194912701845
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331030152)",-0.005740843713283539,0.0008834809996187687,0.0008335651364177465,0.012244418263435364,-0.0010883915238082409,0.003882761113345623
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341031688)",-0.004921465180814266,-0.0021880948916077614,-0.0022164827678352594,0.012862886302173138,0.003952570725232363,0.0007275472162291408
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351032456)",-0.0009946809150278568,-0.0011620087316259742,0.0004213931388221681,-0.006483252160251141,-0.003959356341511011,-0.0056955828331410885
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=361031432)",-0.003078731242567301,0.003683001734316349,0.0027551092207431793,-0.005564584396779537,-0.0009254926699213684,-0.0008114026859402657
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371035528)",-0.002223813906311989,0.0021912138909101486,-0.0012174560688436031,0.013221688568592072,9.730813326314092e-05,0.003327865619212389
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381037320)",-0.0023767000529915094,-0.001000959542579949,-0.004342840984463692,0.01568533107638359,0.001936961431056261,0.0013379849260672927
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391038088)",-0.0001099345536204055,-0.00034688334562815726,-0.0011269582901149988,-0.003983650356531143,-0.006077801808714867,-0.0067877210676670074
