stamp,latitude,longitude,altitude,track,speed,climb,pitch,roll,dip,time,gdop,pdop,hdop,vdop,tdop,err,err_horz,err_vert,err_track,err_speed,err_climb,err_time,err_pitch,err_roll,err_dip,position_covariance,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=131242888)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=181343178)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=233176398)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=281548676)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331766289)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=382614138)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=432667917)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=481099401)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=535731767)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=582596381)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=634238496)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681119343)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=730659063)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=781039825)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=832481403)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881545908)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=930964213)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981145317)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=62527432)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=82074199)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132748527)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=182387894)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=234089865)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281269364)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0
