stamp,f_brk_pos_cmd,f_brk_pos_fbk,r_brk_pos_cmd,r_brk_pos_fbk
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272340180)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281740803)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291759163)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302484420)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311772960)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321750264)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331784402)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341748871)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351741584)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362542894)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371785674)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381796505)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391783110)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401766008)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412346528)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422694974)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431828187)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451825188)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461818173)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471865891)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481822467)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491863331)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502076204)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511849578)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521820274)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531761724)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541758359)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551772610)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561810494)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571750205)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582139979)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591758141)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601924599)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611755635)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621747944)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631783376)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641789500)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651770501)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661763005)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671757238)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681772875)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691788792)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702575482)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711829413)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721814096)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731753816)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741753988)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751740331)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762181102)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771745665)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781764088)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791784215)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802209418)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811784789)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821794998)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831786596)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841757465)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852231906)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861759048)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874508862)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=901950055)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911812326)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921817985)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932049131)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=941818200)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951785468)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961745542)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971745509)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981746480)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991750375)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1768975)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21761140)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31800569)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41795480)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51744478)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61788385)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71905612)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81793600)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91757074)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101816854)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111784579)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121748366)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=131765030)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141795228)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151758962)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161745470)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171745751)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181787988)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191782879)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=201746192)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211746979)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221783418)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231781998)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=241915755)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254446966)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=262949815)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271760406)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=281740437)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=291937549)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=301957097)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=311968371)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321762891)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331803542)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342276496)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351779680)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=361766536)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371771292)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381779888)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391805273)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401766299)",7500.0,2400.0,7500.0,2400.0
