stamp,rl_tire_temp_04,rl_tire_temp_03,rl_tire_temp_02,rl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748332123)",52.80000000000001,45.80000000000001,38.900000000000006,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=748332123)",52.80000000000001,45.80000000000001,38.900000000000006,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747901215)",53.80000000000001,47.400000000000006,39.70000000000002,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747901215)",53.80000000000001,47.400000000000006,39.70000000000002,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747901215)",53.80000000000001,47.400000000000006,39.70000000000002,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747901215)",53.80000000000001,47.400000000000006,39.70000000000002,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=747901215)",53.80000000000001,47.400000000000006,39.70000000000002,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748464657)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748464657)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748464657)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748464657)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=748464657)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747866701)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747866701)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747866701)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747866701)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747866701)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=748779045)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=748779045)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=748779045)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=748779045)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=748779045)",54.0,46.0,40.900000000000006,35.70000000000002
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=748825286)",50.80000000000001,43.099999999999994,36.400000000000006,32.20000000000002
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=748825286)",50.80000000000001,43.099999999999994,36.400000000000006,32.20000000000002
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=748825286)",50.80000000000001,43.099999999999994,36.400000000000006,32.20000000000002
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=748825286)",50.80000000000001,43.099999999999994,36.400000000000006,32.20000000000002
