stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=610542872)",world,ego_car,122.98919353185227,142.03077687369426,0.0,-0.0,0.0,0.9295454652581802,-0.36870751011872993
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620144031)",world,ego_car,122.98916119234899,142.03076039183273,0.0,-0.0,0.0,0.929537319891148,-0.36872804467463777
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=630265857)",world,ego_car,122.98912927078997,142.03074416348707,0.0,-0.0,0.0,0.9295304255264707,-0.36874542440629515
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=680214465)",world,ego_car,122.98892047130916,142.03044604271037,0.0,-0.0,0.0,0.9295474991798898,-0.3687023823742029
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=690285174)",world,ego_car,122.98890044800751,142.03018798752893,0.0,-0.0,0.0,0.9295503528350247,-0.368695187850725
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=700344795)",world,ego_car,122.98887044815653,142.03016795364582,0.0,-0.0,0.0,0.9295467180081759,-0.368704351805385
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=710731963)",world,ego_car,122.98916662423427,142.02992344517662,0.0,-0.0,0.0,0.9295481917173948,-0.3687006363907195
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=720219368)",world,ego_car,122.98914056818924,142.0299003127805,0.0,-0.0,0.0,0.9295436761026498,-0.3687120207120622
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=739944165)",world,ego_car,122.98912885087432,142.02963348182334,0.0,-0.0,0.0,0.9295392947983693,-0.3687230660343211
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=759896284)",world,ego_car,122.98907979347065,142.02958343806006,0.0,-0.0,0.0,0.9295379352158485,-0.3687264934808149
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=789873211)",world,ego_car,122.98897520545474,142.02923329207522,0.0,-0.0,0.0,0.929553622907852,-0.3686869432715067
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=810083293)",world,ego_car,122.98892893256351,142.02917970707261,0.0,-0.0,0.0,0.9295539363840027,-0.3686861529173638
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=839906156)",world,ego_car,122.98882386862243,142.02879662222526,0.0,-0.0,0.0,0.9295456772160127,-0.36870697575313716
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=850096147)",world,ego_car,122.98880193756816,142.02876765157976,0.0,-0.0,0.0,0.9295459362889575,-0.3687063226047061
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=900153166)",world,ego_car,122.98892090786192,142.02800231301256,0.0,-0.0,0.0,0.9295839098791371,-0.36861057295446165
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=920393627)",world,ego_car,122.98888640780527,142.02793243796984,0.0,-0.0,0.0,0.9295856134406536,-0.3686062767834586
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=949904174)",world,ego_car,122.98885275063363,142.02748124732648,0.0,-0.0,0.0,0.929579780800742,-0.3686209857379861
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=970162525)",world,ego_car,122.98882196044396,142.0274068918398,0.0,-0.0,0.0,0.9295804033650947,-0.3686194157658928
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=980170516)",world,ego_car,122.9888069413052,142.02737040858304,0.0,-0.0,0.0,0.9295849092665751,-0.3686080526302344
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=9979340)",world,ego_car,122.98874345612747,142.0270633191998,0.0,-0.0,0.0,0.9296074512778175,-0.3685511993315992
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=50028876)",world,ego_car,122.98868800842303,142.02691615539956,0.0,-0.0,0.0,0.9296171527542793,-0.368526728074135
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=79820678)",world,ego_car,122.98853099215864,142.0266475499779,0.0,-0.0,0.0,0.9296301525116003,-0.36849393419873117
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=90368781)",world,ego_car,122.98841324855377,142.0263825883451,0.0,-0.0,0.0,0.9296426977919783,-0.36846228360858435
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=99919199)",world,ego_car,122.9883987095028,142.02634332527677,0.0,-0.0,0.0,0.9296503806277864,-0.368442898966193
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=110246668)",world,ego_car,122.98788009814183,142.02637239682127,0.0,-0.0,0.0,0.9296591194157015,-0.3684208486055354
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=119980674)",world,ego_car,122.98786037390283,142.02633524586923,0.0,-0.0,0.0,0.9296513204798484,-0.3684405275347358
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=130269147)",world,ego_car,122.98784095190997,142.0262985648103,0.0,-0.0,0.0,0.9296413106055129,-0.3684657835073214
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140609789)",world,ego_car,122.98781148331248,142.02604062657417,0.0,-0.0,0.0,0.9296349323751565,-0.3684818754129412
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150319999)",world,ego_car,122.98779255167037,142.0260017142442,0.0,-0.0,0.0,0.9296294893226615,-0.3684956072759727
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160270173)",world,ego_car,122.98777391506123,142.02596328673124,0.0,-0.0,0.0,0.9296277986074565,-0.3684998725322091
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=170185158)",world,ego_car,122.98775557088706,142.02592534190978,0.0,-0.0,0.0,0.9296279933044467,-0.36849938136277466
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=180230893)",world,ego_car,122.98773751638166,142.02588787770014,0.0,-0.0,0.0,0.929628362004289,-0.3684984512277123
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=189889944)",world,ego_car,122.98764619929321,142.02562846763675,0.0,-0.0,0.0,0.9296319596042305,-0.3684893752639259
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=199994076)",world,ego_car,122.98762796059601,142.02558883477207,0.0,-0.0,0.0,0.9296319155596127,-0.3684894863805008
