stamp,latitude,longitude,altitude,status,service,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_9,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=80985608)",36.5877417734928,-121.75527253766681,199.31808912455563,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=90989192)",36.587741773142206,-121.75527253733709,199.31809124160645,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=100989728)",36.58774177285515,-121.75527253671312,199.31809524504934,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=110993824)",36.587741778520204,-121.75527256825927,199.31834783493832,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=120993800)",36.58774177867166,-121.75527256817395,199.3183773263081,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140999176)",36.58774177836453,-121.75527256746274,199.31838539704768,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150999944)",36.587741777905094,-121.75527256675028,199.3183773401979,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160997664)",36.58774177756759,-121.75527256653889,199.31837359460405,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171002248)",36.587741777292806,-121.75527256606819,199.3183907738894,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181006600)",36.58774177730461,-121.75527256552807,199.31842373186737,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191010440)",36.58774177700286,-121.75527256500297,199.31842874962604,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201008160)",36.5877417768832,-121.75527256475223,199.31843350867712,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211012744)",36.58774177690357,-121.75527256438151,199.31844032293156,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221014280)",36.58774177684939,-121.755272563621,199.3184662263575,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231017864)",36.58774177646209,-121.755272562933,199.31846678599504,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241019912)",36.58774177631663,-121.75527256249634,199.31846085681718,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251020680)",36.587741776348615,-121.75527256210655,199.31846044616395,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261018400)",36.58774177640391,-121.75527256157756,199.3184840414724,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=271022984)",36.58774177613899,-121.75527256117121,199.318488050445,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281024520)",36.587741776104586,-121.75527256102609,199.31846891204805,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291025288)",36.587741776055914,-121.75527256056132,199.31847561202812,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=301023264)",36.58774177594399,-121.75527255980417,199.31849432757008,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311026848)",36.587741775136045,-121.75527255880193,199.3184097580015,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321029384)",36.58774177710768,-121.75527257652294,199.31860232970212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331030152)",36.58774177712093,-121.75527257604686,199.31860922958367,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341031688)",36.587741777186004,-121.75527257555018,199.31863596470612,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351032456)",36.5877417769619,-121.7552725751943,199.3186373584922,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=361031432)",36.58774177700064,-121.75527257514702,199.3186389354014,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371035528)",36.58774177714695,-121.75527257489816,199.31866324823932,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381037320)",36.5877417772807,-121.75527257453419,199.31870133514894,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391038088)",36.58774177710539,-121.75527257425948,199.31871646070795,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
