stamp,track_cond_ack,veh_sig_ack,ct_state,ct_state_rolling_counter,veh_num
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,108,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,109,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,110,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,111,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,112,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,113,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,114,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,115,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,116,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,117,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,118,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,119,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,120,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,121,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,122,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,123,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,124,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,125,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,126,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,127,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,128,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,129,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,130,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,131,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,132,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,133,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,134,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,135,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,136,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,137,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,138,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,139,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,140,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,141,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,142,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,143,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,144,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,145,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,146,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,147,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,148,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,149,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,150,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,151,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,152,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,153,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,154,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,155,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,156,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,157,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,158,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,159,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,160,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,161,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,162,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,163,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,164,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,165,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,166,10
